Sex,Marital Status,Race,Native Country,Industry,Occupation,Education Enrollment,FT/PT Enrollment,Education Level Attained,Household Member Status,Weekly Earnings,Weekly Earnings Categories,PWSSWGT
Female,Married - spouse present,White only,United States,Federal government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,616.0,500-749,3426.1503
Female,Separated,Black only,United States,State government,Building and grounds cleaning and maintenance occupations,,,11th grade,Adult civilian household member,440.0,250-499,1680.4851
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,800.0,750-999,1675.9612
Female,Married - spouse present,Black only,,State government,Healthcare support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,350.0,250-499,6959.4156
Male,Married - spouse present,Black only,,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,10247.4895
Male,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,866.0,750-999,3314.4199
Female,Never married,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,866.0,750-999,3637.6595
Male,Divorced,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1440.0,1250-1499,1912.0775
Male,Never married,Black only,United States,State government,Transportation and material moving occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,684.0,500-749,8890.7287
Female,Divorced,White only,United States,State government,Architecture and engineering occupations,,,Bachelor's degree,Adult civilian household member,2640.0,2000+,3154.1706
Female,Married - spouse present,White only,United States,State government,Legal occupations,,,Doctorate degree,Adult civilian household member,2880.0,2000+,3844.0978
Female,Never married,Black only,United States,Local government,Office and administrative support occupations,Not enrolled,,"12th grade, no diploma",Adult civilian household member,650.0,500-749,9491.493
Male,Married - spouse present,White only,United States,State government,Building and grounds cleaning and maintenance occupations,,,High school graduate,Adult civilian household member,600.0,500-749,1431.6804
Female,Divorced,Black only,United States,State government,Production occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1016.0,1000-1249,3765.3926
Male,Never married,Black only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,814.0,750-999,4934.8867
Female,Never married,Black only,United States,State government,Food preparation and serving related occupations,Enrolled,Part time,"Some college, no degree",Adult civilian household member,200.0,<250,3488.7273
Female,Never married,Black only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,438.0,250-499,3488.7273
Female,Never married,Black only,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,11th grade,Adult civilian household member,210.0,<250,4033.0142
Male,Never married,White only,United States,State government,Protective service occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,540.0,500-749,1230.3697
Male,Divorced,White only,United States,Private nonprofit,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,920.0,750-999,1046.6598
Male,Never married,White only,United States,Private nonprofit,Computer and mathematical occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,450.0,250-499,1067.7899
Male,Married - spouse present,White only,United States,State government,Management occupations,,,Bachelor's degree,Adult civilian household member,1540.0,1500-1999,4028.9868
Male,Married - spouse absent,White only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,600.0,500-749,4442.3316
Male,Never married,White only,United States,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,1560.0,1500-1999,5289.5662
Female,Never married,White only,,State government,Personal care and service occupations,Not enrolled,,High school graduate,Adult civilian household member,880.0,750-999,6734.1534
Male,Divorced,White only,United States,State government,Personal care and service occupations,Not enrolled,,High school graduate,Adult civilian household member,1076.0,1000-1249,539.9053
Male,Married - spouse present,Asian only,,State government,Computer and mathematical occupations,,,Master's degree,Adult civilian household member,2220.0,2000+,3905.5548
Female,Married - spouse present,Asian only,,State government,Business and financial operations occupations,,,Bachelor's degree,Adult civilian household member,3840.0,2000+,4254.9065
Male,Married - spouse present,Black only,United States,State government,Production occupations,,,High school graduate,Adult civilian household member,1670.0,1500-1999,7699.9257
Female,Never married,White only,United States,State government,"Arts, design, entertainment, sports, and media occupations",,,Doctorate degree,Adult civilian household member,2340.0,2000+,5431.8674
Female,Married - spouse present,White only,United States,Federal government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1810.0,1500-1999,568.9111
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,8115.06,2000+,563.4673
Male,Never married,White only,United States,Local government,"Arts, design, entertainment, sports, and media occupations",Enrolled,Full time,High school graduate,Adult civilian household member,150.0,<250,706.19
Male,Married - spouse present,Asian only,,Federal government,Healthcare practitioner and technical occupations,,,Doctorate degree,Adult civilian household member,2000.0,2000+,926.3874
Female,Married - spouse present,White only,United States,Federal government,Education instruction and library occupations,,,Doctorate degree,Adult civilian household member,1400.0,1250-1499,1015.1242
Male,Divorced,White only,,State government,Sales and related occupations,,,Professional degree,Adult civilian household member,700.0,500-749,3354.3395
Female,Never married,Black only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,720.0,500-749,6400.5452
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1630.0,1500-1999,1291.8483
Female,Married - spouse present,White only,United States,Local government,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,3460.0,2000+,1253.8206
Male,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1190.0,1000-1249,1527.1767
Female,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,1360.0,1250-1499,1757.2002
Male,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,880.0,750-999,1637.2886
Female,Divorced,White only,United States,State government,Architecture and engineering occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1630.0,1500-1999,5267.5575
Female,Never married,White only,United States,Federal government,"Life, physical, and social science occupations",Not enrolled,,Doctorate degree,Adult civilian household member,8115.06,2000+,5592.8497
Female,Divorced,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1038.0,1000-1249,4793.97
Male,Divorced,White only,United States,State government,Sales and related occupations,,,Bachelor's degree,Adult civilian household member,1750.0,1500-1999,4458.7177
Male,Divorced,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1000.0,1000-1249,3613.4486
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,462.0,250-499,4179.1448
Male,Married - spouse present,White only,United States,State government,Production occupations,,,High school graduate,Adult civilian household member,882.0,750-999,4444.3149
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,,,Associate degree - occupational,Adult civilian household member,792.0,750-999,3789.9304
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1410.0,1250-1499,3563.1081
Male,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,376.0,250-499,5023.1345
Female,Married - spouse present,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3680.0,2000+,2811.2056
Male,Married - spouse present,White only,United States,State government,Production occupations,,,"Some college, no degree",Adult civilian household member,1192.0,1000-1249,2420.4395
Female,Never married,White only,United States,Federal government,Healthcare practitioner and technical occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,180.0,<250,3467.4031
Male,Never married,Black only,,State government,"Installation, maintenance, and repair occupations",,,"12th grade, no diploma",Adult civilian household member,192.0,<250,2874.1089
Male,Married - spouse present,White only,United States,Private nonprofit,Management occupations,,,Doctorate degree,Adult civilian household member,2780.0,2000+,2912.4942
Male,Married - spouse present,White only,United States,Private for-profit,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,4680.0445
Male,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,500.0,500-749,5495.692
Female,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,1000.0,1000-1249,4371.6677
Male,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,640.0,500-749,3335.1943
Female,Divorced,White only,,State government,Office and administrative support occupations,,,1st-4th grade,Adult civilian household member,600.0,500-749,4852.7607
Male,Married - spouse present,White only,,State government,Production occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1400.0,1250-1499,5481.5157
Female,Married - spouse present,White only,,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,650.0,500-749,5450.9097
Male,Married - spouse present,White only,,State government,Transportation and material moving occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1730.0,1500-1999,5497.5193
Female,Married - spouse present,White only,,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1310.0,1250-1499,5450.9097
Female,Married - spouse present,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,1058.0,1000-1249,3811.9588
Male,Married - spouse present,White only,United States,State government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3080.0,2000+,4709.606
Female,Never married,White-Black,,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,800.0,750-999,5711.524
Female,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Master's degree,Adult civilian household member,1380.0,1250-1499,5871.4909
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Doctorate degree,Adult civilian household member,1540.0,1500-1999,5451.9409
Female,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,Master's degree,Adult civilian household member,320.0,250-499,1314.8962
Male,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,800.0,750-999,948.594
Female,Married - spouse present,White only,,Local government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1038.0,1000-1249,4852.2796
Male,Married - spouse present,White only,,State government,Transportation and material moving occupations,Not enrolled,,Master's degree,Adult civilian household member,450.0,250-499,4769.667
Male,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,500.0,500-749,5371.874
Male,Married - spouse present,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,High school graduate,Adult civilian household member,1142.0,1000-1249,4818.831
Female,Married - spouse present,White only,United States,Federal government,Healthcare support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,674.0,500-749,3933.4279
Female,Married - spouse present,Asian only,,State government,Computer and mathematical occupations,Not enrolled,,Master's degree,Adult civilian household member,2240.0,2000+,4165.521
Female,Divorced,White only,United States,Local government,Office and administrative support occupations,,,"Some college, no degree",Adult civilian household member,826.0,750-999,731.526
Female,Never married,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1830.0,1500-1999,5489.1702
Male,Never married,White only,United States,State government,"Arts, design, entertainment, sports, and media occupations",Not enrolled,,Bachelor's degree,Adult civilian household member,454.0,250-499,5193.8136
Female,Divorced,White only,United States,State government,Architecture and engineering occupations,Enrolled,Part time,Bachelor's degree,Adult civilian household member,1320.0,1250-1499,4354.4385
Male,Divorced,White only,United States,State government,Office and administrative support occupations,Enrolled,Part time,"Some college, no degree",Adult civilian household member,1040.0,1000-1249,4281.9393
Female,Married - spouse absent,White only,United States,Private for-profit,Education instruction and library occupations,,,Master's degree,Adult civilian household member,324.0,250-499,4370.0828
Female,Married - spouse present,White only,,Private nonprofit,Education instruction and library occupations,Enrolled,Full time,Master's degree,Adult civilian household member,484.0,250-499,440.3556
Male,Married - spouse present,Asian only,,State government,Production occupations,Not enrolled,,Less than 1st grade,Adult civilian household member,600.0,500-749,3976.0768
Female,Married - spouse present,Asian only,,State government,Production occupations,Not enrolled,,Less than 1st grade,Adult civilian household member,640.0,500-749,4330.404
Male,Never married,Asian only,,State government,Business and financial operations occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,1000.0,1000-1249,3895.9023
Female,Never married,Asian only,United States,State government,Computer and mathematical occupations,Enrolled,Full time,Associate degree - academic,Adult civilian household member,500.0,500-749,3727.3001
Male,Never married,Asian only,United States,Private nonprofit,Food preparation and serving related occupations,Enrolled,Full time,Associate degree - occupational,Adult civilian household member,660.0,500-749,4167.2315
Female,Married - spouse present,Asian only,,State government,Sales and related occupations,Not enrolled,,Master's degree,Adult civilian household member,184.0,<250,4776.7108
Male,Married - spouse present,Asian only,,State government,Sales and related occupations,Not enrolled,,Master's degree,Adult civilian household member,866.0,750-999,4419.4667
Female,Never married,White only,,State government,Food preparation and serving related occupations,Not enrolled,,9th grade,Adult civilian household member,350.0,250-499,5421.5
Female,Never married,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Doctorate degree,Adult civilian household member,3420.0,2000+,4526.7592
Female,Married - spouse present,White only,United States,State government,Management occupations,,,Bachelor's degree,Adult civilian household member,1730.0,1500-1999,507.997
Male,Married - spouse present,White only,United States,State government,"Arts, design, entertainment, sports, and media occupations",,,Bachelor's degree,Adult civilian household member,196.0,<250,539.5329
Male,Never married,White only,United States,Federal government,Food preparation and serving related occupations,Enrolled,Full time,Bachelor's degree,Adult civilian household member,64.0,<250,547.2814
Female,Never married,White only,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,70.0,<250,750.2271
Male,Married - spouse present,White only,United States,Federal government,Education instruction and library occupations,Enrolled,Part time,Master's degree,Adult civilian household member,900.0,750-999,493.0835
Female,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Master's degree,Adult civilian household member,1730.0,1500-1999,582.3389
Female,Never married,Black-Asian,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,166.0,<250,7546.2776
Male,Never married,Black only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,846.0,750-999,4868.7431
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,11th grade,Adult civilian household member,872.0,750-999,836.482
Male,Divorced,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,2620.0,2000+,2245.1636
Female,Divorced,White only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,1050.0,1000-1249,2296.5617
Female,Married - spouse present,White only,United States,State government,Construction and extraction occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,2540.0,2000+,3497.3667
Male,Married - spouse present,White only,United States,State government,Construction and extraction occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,2400.0,2000+,3813.1697
Female,Divorced,White only,,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,9th grade,Adult civilian household member,640.0,500-749,3741.2817
Male,Never married,White only,,Private for-profit,Management occupations,Not enrolled,,Master's degree,Adult civilian household member,3260.0,2000+,4655.4179
Male,Never married,White only,,Private nonprofit,Protective service occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,800.0,750-999,4655.4179
Male,Never married,White only,United States,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,760.0,750-999,836.482
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,,,Bachelor's degree,Adult civilian household member,1700.0,1500-1999,734.1213
Male,Married - spouse present,White only,United States,State government,Management occupations,,,Bachelor's degree,Adult civilian household member,1038.0,1000-1249,631.1408
Female,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,High school graduate,Adult civilian household member,640.0,500-749,1018.2149
Female,Married - spouse present,Black only,United States,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3460.0,2000+,9792.0946
Male,Married - spouse present,Black only,,State government,Office and administrative support occupations,Not enrolled,,Master's degree,Adult civilian household member,8115.06,2000+,8379.6421
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,,,Associate degree - academic,Adult civilian household member,200.0,<250,3225.0579
Female,Divorced,White only,,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3660.0,2000+,4959.6578
Male,Never married,White only,,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,10th grade,Adult civilian household member,576.0,500-749,4874.2992
Male,Divorced,White only,United States,State government,Management occupations,Not enrolled,,Professional degree,Adult civilian household member,2300.0,2000+,4427.9496
Female,Never married,Black only,United States,Local government,Protective service occupations,,,11th grade,Adult civilian household member,442.0,250-499,4110.0849
Male,Never married,Black only,United States,State government,Transportation and material moving occupations,Not enrolled,,11th grade,Adult civilian household member,648.0,500-749,5268.2136
Male,Married - spouse present,Black only,,State government,Construction and extraction occupations,Not enrolled,,11th grade,Adult civilian household member,720.0,500-749,8515.7792
Male,Never married,Black only,,State government,Construction and extraction occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1058.0,1000-1249,7021.1518
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,,,Bachelor's degree,Adult civilian household member,962.0,750-999,5287.9901
Female,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,,,Master's degree,Adult civilian household member,8115.06,2000+,4782.0017
Female,Separated,White only,United States,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,540.0,500-749,718.5581
Male,Married - spouse present,White only,United States,Private nonprofit,Building and grounds cleaning and maintenance occupations,Not enrolled,,High school graduate,Adult civilian household member,736.0,500-749,617.9182
Female,Married - spouse present,White only,United States,Federal government,Building and grounds cleaning and maintenance occupations,Not enrolled,,High school graduate,Adult civilian household member,784.0,750-999,763.4239
Male,Never married,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,"Some college, no degree",Adult civilian household member,1168.0,1000-1249,3896.7799
Male,Married - spouse present,Asian only,,State government,Sales and related occupations,,,Bachelor's degree,Adult civilian household member,600.0,500-749,4717.0081
Female,Married - spouse present,White only,,State government,Office and administrative support occupations,Not enrolled,,10th grade,Adult civilian household member,1000.0,1000-1249,5231.1877
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,770.0,750-999,546.3454
Female,Married - spouse present,White only,United States,State government,Education instruction and library occupations,,,Bachelor's degree,Adult civilian household member,376.0,250-499,2638.4892
Male,Never married,White only,United States,State government,Production occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,920.0,750-999,3342.2967
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,Master's degree,Adult civilian household member,1600.0,1500-1999,5495.692
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1900.0,1500-1999,5560.204
Female,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2300.0,2000+,6899.8373
Male,Married - spouse present,White only,United States,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,1440.0,1250-1499,2061.0366
Female,Married - spouse present,White only,United States,Federal government,Community and social service occupations,Not enrolled,,Master's degree,Adult civilian household member,1154.0,1000-1249,1757.666
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2300.0,2000+,3127.5896
Female,Married - spouse present,White only,,Local government,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,1560.0,1500-1999,3880.8448
Male,Never married,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Master's degree,Adult civilian household member,2220.0,2000+,1650.751
Female,Never married,White only,United States,Federal government,Healthcare practitioner and technical occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,1120.0,1000-1249,1495.445
Male,Never married,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,990.0,750-999,4413.7016
Male,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,,,Bachelor's degree,Adult civilian household member,2500.0,2000+,5630.5416
Female,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,800.0,750-999,7747.7427
Male,Never married,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,800.0,750-999,5614.5011
Male,Married - spouse present,White only,United States,State government,Construction and extraction occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1440.0,1250-1499,4677.9107
Female,Married - spouse present,White only,,State government,Computer and mathematical occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,416.0,250-499,4188.7193
Male,Married - spouse present,White only,,State government,Computer and mathematical occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,962.0,750-999,4749.7904
Female,Married - spouse present,White only,,State government,Business and financial operations occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,770.0,750-999,4865.588
Female,Married - spouse present,White only,United States,Private for-profit,Community and social service occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1600.0,1500-1999,713.0256
Male,Married - spouse present,White only,United States,Federal government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,1850.0,1500-1999,692.546
Female,Never married,White only,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,"12th grade, no diploma",Adult civilian household member,240.0,<250,882.4882
Female,Never married,Asian only,United States,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1540.0,1500-1999,5311.9065
Male,Married - spouse present,Asian only,United States,State government,Construction and extraction occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2880.0,2000+,6706.4486
Female,Married - spouse present,Asian only,,Federal government,Healthcare practitioner and technical occupations,Not enrolled,,Doctorate degree,Adult civilian household member,1500.0,1500-1999,4541.662
Female,Never married,White only,United States,State government,Sales and related occupations,Enrolled,Full time,High school graduate,Adult civilian household member,800.0,750-999,5841.0788
Female,Married - spouse present,White only,United States,State government,Production occupations,,,9th grade,Adult civilian household member,540.0,500-749,4395.5875
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,950.0,750-999,1612.4058
Male,Married - spouse present,White only,,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3700.0,2000+,4093.2334
Female,Married - spouse present,White only,,State government,Computer and mathematical occupations,Enrolled,Full time,Master's degree,Adult civilian household member,2880.0,2000+,4320.3905
Female,Married - spouse present,White only,United States,State government,Healthcare support occupations,,,High school graduate,Adult civilian household member,800.0,750-999,4702.3396
Male,Divorced,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,High school graduate,Adult civilian household member,840.0,750-999,5365.1434
Female,Married - spouse present,White only,,Local government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1050.0,1000-1249,4216.6462
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1300.0,1250-1499,5105.1651
Male,Married - spouse present,White only,United States,Federal government,Building and grounds cleaning and maintenance occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,2873.0866
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1012.0,1000-1249,2237.105
Male,Never married,White only,United States,Private nonprofit,Protective service occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1440.0,1250-1499,4526.5757
Male,Never married,White only,,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,508.0,500-749,5401.0145
Male,Never married,White only,,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,High school graduate,Adult civilian household member,600.0,500-749,6162.7465
Male,Married - spouse present,White only,United States,Local government,Personal care and service occupations,,,Master's degree,Adult civilian household member,56.0,<250,637.5948
Male,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,360.0,250-499,3033.4497
Female,Married - spouse present,White only,United States,State government,Healthcare support occupations,Not enrolled,,High school graduate,Adult civilian household member,640.0,500-749,3490.83
Female,Never married,White only,United States,Local government,Education instruction and library occupations,,,Associate degree - academic,Adult civilian household member,2300.0,2000+,3267.7817
Male,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,576.0,500-749,3983.106
Male,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,800.0,750-999,3783.5564
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,880.0,750-999,3945.9429
Female,Married - spouse present,White only,,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,High school graduate,Adult civilian household member,720.0,500-749,4788.6293
Male,Married - spouse present,White only,,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,1200.0,1000-1249,5743.7762
Female,Married - spouse present,White only,,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,1154.0,1000-1249,3875.2082
Female,Never married,White only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,720.0,500-749,6107.4094
Female,Never married,White only,United States,State government,Management occupations,Enrolled,Full time,High school graduate,Adult civilian household member,280.0,250-499,5116.1011
Female,Never married,White only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,576.0,500-749,5701.5817
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,8115.06,2000+,3739.8776
Female,Married - spouse present,White only,United States,State government,"Arts, design, entertainment, sports, and media occupations",Not enrolled,,Bachelor's degree,Adult civilian household member,3400.0,2000+,3781.2136
Female,Married - spouse present,American Indian or Alaskan Native only,United States,Local government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,1630.0,1500-1999,333.7195
Male,Never married,American Indian or Alaskan Native only,United States,Local government,"Life, physical, and social science occupations",Not enrolled,,High school graduate,Adult civilian household member,1600.0,1500-1999,597.3211
Male,Never married,American Indian or Alaskan Native only,United States,Local government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,400.0,250-499,693.3129
Female,Divorced,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,8115.06,2000+,4202.3961
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,1000.0,1000-1249,5134.7185
Male,Never married,White only,,Federal government,Education instruction and library occupations,Not enrolled,,Doctorate degree,Adult civilian household member,1124.0,1000-1249,4908.3917
Female,Never married,White only,,State government,Sales and related occupations,Not enrolled,,Master's degree,Adult civilian household member,876.0,750-999,3642.9955
Male,Never married,Asian only,,State government,Computer and mathematical occupations,Not enrolled,,Master's degree,Adult civilian household member,2880.0,2000+,5271.8909
Female,Widowed,Asian only,,State government,Production occupations,,,High school graduate,Adult civilian household member,1000.0,1000-1249,3626.7869
Male,Married - spouse present,Asian only,,State government,Computer and mathematical occupations,Not enrolled,,Master's degree,Adult civilian household member,2600.0,2000+,5654.6954
Male,Divorced,White only,,Private for-profit,Business and financial operations occupations,,,"Some college, no degree",Adult civilian household member,2260.0,2000+,5660.0384
Female,Divorced,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1154.0,1000-1249,3913.842
Male,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1154.0,1000-1249,5891.8547
Male,Married - spouse present,White only,,State government,Food preparation and serving related occupations,,,Less than 1st grade,Adult civilian household member,674.0,500-749,5696.2016
Female,Married - spouse present,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,1920.0,1500-1999,4408.5469
Male,Married - spouse present,White only,,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,760.0,750-999,4227.123
